cluster_id,size,pct,top_10_keywords
0,235,5.3,"surface, pro, surface pro, surface book, screen, book, pen, new, help, battery"
1,2400,53.8,"update, microsoft, account, email, win, laptop, xbox, support, hi, pc"
2,306,6.9,"just, windows, update, updated, just updated, computer, got, new, pc, just got"
3,193,4.3,"creators, creators update, fall creators, fall, update, windows fall, windows, windows creators, install, update windows"
4,856,19.2,"windows, update, windows update, updates, laptop, pc, update windows, install, new, time"
5,468,10.5,"help, need, need help, account, hi, trying, error, having, microsoft, windows"
