cluster_k9,size,pct,top_12_keywords
0,83,1.9,"need, need help, help, help asap, asap, hey, hey need, really need, im, account, email, windows"
1,2219,49.8,"update, microsoft, just, win, laptop, pc, app, email, xbox, work, hi, like"
2,181,4.1,"screen, black, windows, update, blue screen, blue, black screen, fix, laptop, stuck, just, pc"
3,186,4.2,"support, customer, chat, service, microsoft, customer service, help, tech support, microsoft support, tech, just, need"
4,201,4.5,"surface, surface pro, pro, surface book, book, screen, pen, new, battery, new surface, help, warranty"
5,225,5.0,"account, email, microsoft account, help, microsoft, access, xbox, password, hotmail, hotmail account, hi, sign"
6,813,18.2,"windows, update, windows update, laptop, updates, pc, update windows, install, new, computer, time, latest"
7,193,4.3,"creators, creators update, fall creators, fall, update, windows fall, windows, windows creators, install, update windows, updated, fall update"
8,357,8.0,"help, hi, trying, windows, having, error, ve, hello, problem, store, pc, update"
